,headline,date,time,neg,neu,pos,compound
0,Tesla’s China EV sales fall 11%,2023-10-09,1900-01-01 14:14:00,0.0,1.0,0.0,0.0
1,Tesla's China-made EV sales volume falls 10.9% year-on-year in September,2023-10-09,1900-01-01 14:51:34,0.0,1.0,0.0,0.0
2,Tesla Stock Drops as China Deliveries Dive. October Will Tell the Tale.,2023-10-10,1900-01-01 03:40:00,0.0,1.0,0.0,0.0
3,Volvo is Accelerating Towards a 100% BEV Lineup by 2030,2023-10-09,1900-01-01 13:36:00,0.0,1.0,0.0,0.0
4,Tesla Model 3 And Model Y Cost Less Than The Average Car And Investors Are Worried,2023-10-10,1900-01-01 14:30:32,0.145,0.855,0.0,-0.296
5,"Tesla Prices Fall Below Average US Car Costs, Model 3 On Par With Toyota Corolla",2023-10-10,1900-01-01 14:20:00,0.0,1.0,0.0,0.0
6,Tesla cuts EV prices again following production and delivery downturn,2023-10-09,1900-01-01 18:49:00,0.196,0.804,0.0,-0.296
7,Tesla base models are now cheaper than the average new car in the US,2023-10-09,1900-01-01 17:23:53,0.0,1.0,0.0,0.0
8,"Wall Street analysts' favorite stocks Tuesday: Apple, Tesla, Microsoft",2023-10-10,1900-01-01 15:05:00,0.0,0.727,0.273,0.4588
9,Tesla Builds a New Home for 'Dojo' Supercomputer as AI Ambitions Rise,2023-10-10,1900-01-01 12:38:04,0.0,1.0,0.0,0.0
10,Inside the final seconds of a deadly Tesla Autopilot crash,2023-10-10,1900-01-01 13:00:00,0.252,0.748,0.0,-0.4019
11,Tesla owners are loving the new button on iPhone 15 Pro,2023-10-06,1900-01-01 10:01:43,0.0,0.719,0.281,0.5994
12,"Tesla owners are using the new button on the side of the iPhone 15 Pro to unlock their cars, pop the frunk, and get the AC going",2023-10-09,1900-01-01 16:23:00,0.0,1.0,0.0,0.0
13,"Thank You, Tim: Tesla Owners Grateful to Apple for This New iPhone Feature",2023-10-10,1900-01-01 09:14:15,0.0,0.667,0.333,0.6705
14,"Tesla Owners Are Using This iPhone 15 Pro Button For Unlocking Their Cars, Pop The Frunk And Turn On AC -",2023-10-10,1900-01-01 04:39:32,0.0,1.0,0.0,0.0
